Current Test,Time,X,Y,Z,X2,Y2,Z2
,12906,1393.3772,541.4029,500.27225,,,
,12923,1378.3031,546.0801,496.12857,,,
,12939,1369.4053,548.53424,493.45123,,,
,12957,1369.4053,548.53424,493.45123,,,
,12973,1363.3389,550.9338,491.8,,,
,12989,1354.2518,561.8585,480.32034,,,
,13006,1346.7235,568.8415,473.67834,,,
,13022,1339.4868,574.09106,470.77084,,,
,13040,1336.0676,576.5714,469.39713,,,
,13056,1331.3833,582.4581,470.19647,,,
,13073,1324.4434,593.3775,473.22552,,,
,13089,1321.0094,605.5049,477.57727,,,
,13106,1317.741,617.4938,483.00552,,,
,13123,1328.2114,641.24414,495.91617,,,
,13140,1351.2382,661.6339,506.65634,,,
,13156,1351.2382,661.6339,506.65634,,,
,13173,1365.7611,673.6204,516.10046,,,
,13190,1373.167,677.9969,520.10376,,,
,13206,1394.7914,676.03613,522.40497,,,
,13223,1413.1819,669.71533,520.4697,,,
,13240,1427.9333,658.6813,511.39294,,,
,13256,1444.3745,648.0021,506.20306,,,
,13272,1467.5896,630.7721,494.53183,,,
,13289,1489.1871,610.655,485.57065,,,
,13307,1499.1296,593.59924,481.527,,,
,13323,1512.8567,574.4251,481.9616,,,
,13340,1511.7188,555.8126,483.20032,,,
,13356,1510.5267,541.4639,483.65256,,,
,13373,1504.8628,524.9303,485.16962,,,
,13389,1499.036,507.59515,482.25665,,,
,13406,1495.0602,490.87018,476.40076,,,
,13422,1476.1141,477.1631,472.76944,,,
,13439,1459.0396,469.46405,472.31314,,,
,13455,1441.7802,463.77094,469.9971,,,
,13472,1425.4547,458.79187,462.26144,,,
,13489,1414.8186,457.7207,455.6013,,,
,13505,1400.9235,457.8103,449.85904,,,
,13523,1387.0066,461.64355,445.76422,,,
,13539,1387.0066,461.64355,445.76422,,,
,13556,1379.1199,464.63037,443.78824,,,
,13573,1386.0955,468.84375,455.17755,,,
,13590,1370.3389,492.81348,462.0163,,,
,13605,1363.8075,512.56915,466.92242,,,
,13622,1363.8075,512.56915,466.92242,,,
,13640,1364.8108,528.90344,474.54626,,,
,13655,1373.4998,543.1102,482.65015,,,
,13674,1393.1759,564.12317,497.21646,,,
,13690,1393.1759,564.12317,497.21646,,,
,13706,1417.4832,576.39685,506.00748,,,
,13723,1428.7782,582.1001,510.0924,,,
,13741,1482.7748,595.76685,513.4581,,,
,13757,1482.7748,595.76685,513.4581,,,
,13772,1530.6418,600.2641,514.5799,,,
,13790,1562.045,601.3687,514.81287,,,
,13806,1562.045,601.3687,514.81287,,,
,13823,1626.1067,592.29626,506.75925,,,
,13839,1638.6357,583.8861,503.21005,,,
,13858,1667.99,557.35333,494.44482,,,
,13873,1667.99,557.35333,494.44482,,,
,13889,1675.7892,541.11066,487.6474,,,
,13908,1690.8175,524.9661,471.81464,,,
,13923,1686.3865,508.0746,459.09314,,,
,13941,1683.1277,492.80365,451.49127,,,
,13956,1667.2465,477.19788,428.33368,,,
,13974,1641.0557,462.45258,411.13922,,,
,13991,1619.4849,450.68585,400.7072,,,
,14008,1596.8306,437.9312,382.7955,,,
,14023,1596.8306,437.9312,382.7955,,,
